index_oper,geo_lat,geo_lon,region
187010,59.641062,30.764091,47
187015,59.678417,30.685121,47
187021,59.663776,30.529236,47
187022,59.569303,30.54775,47
187023,59.427325,30.673065,47
187024,59.567576,30.769814,47
187025,59.59847,31.191708,47
187026,59.701374,30.789595,47
187029,59.560196,31.021073,47
187030,59.471977,31.004418,47
187032,59.724432,30.609734,47
187033,59.688773,30.560794,47
187037,59.645005,30.854723,47
187040,59.410376,31.144564,47
187041,59.432258,31.163698,47
187046,59.541544,30.877531,47
187047,59.707806,30.780279,47
187050,59.344185,31.243989,47
187051,59.36661,31.2522,47
187052,59.336026,31.208084,47
187060,59.304941,31.317337,47
187090,59.146666,30.878824,47
187098,59.541544,30.877531,47
187110,59.448734,32.01204,47
187111,59.454108,32.025039,47
187112,59.443835,32.012301,47
187114,59.439273,32.017915,47
187120,59.284806,32.446834,47
187125,59.613389,32.078506,47
187126,59.653153,32.115382,47
187135,59.564964,32.111825,47
187139,59.448734,32.01204,47
187300,59.757335,31.057266,47
187310,59.841301,31.58729,47
187322,59.908168,31.074253,47
187323,59.808654,30.877207,47
187326,59.874869,31.321101,47
187327,59.82466,31.09778,47
187330,59.772297,30.796134,47
187331,59.772682,30.829597,47
187332,59.76173,30.77903,47
187341,59.889327,30.992569,47
187342,59.879719,30.9885,47
187348,59.879719,30.9885,47
187350,59.874268,31.779529,47
187351,59.869919,31.454025,47
187353,60.0216,31.55672,47
187402,59.904302,32.349133,47
187406,59.893732,32.353103,47
187409,59.923401,32.302367,47
187412,60.004006,32.290455,47
187413,60.006017,32.143904,47
187414,59.746922,32.326019,47
187420,60.143737,32.554263,47
187422,60.204141,32.681734,47
187430,60.060707,32.355457,47
187432,60.09294,32.579946,47
187435,59.954759,32.735498,47
187439,60.039571,32.578563,47
187442,60.002539,32.61693,47
187450,60.104643,32.313676,47
187453,60.10132,32.304612,47
187460,60.395307,33.015485,47
187461,60.387207,33.039309,47
187470,59.923401,32.302367,47
187503,59.555509,33.587676,47
187509,59.652726,33.209369,47
187510,59.69078,33.477354,47
187511,59.569568,33.415703,47
187515,59.771318,33.4667,47
187522,60.000987,33.887974,47
187530,59.927581,34.207199,47
187548,59.645187,33.516296,47
187552,59.653785,33.512855,47
187553,59.644982,33.544072,47
187555,59.645187,33.516296,47
187556,59.644354,33.534316,47
187600,59.512885,34.178839,47
187601,59.510187,34.167431,47
187602,59.513328,34.195593,47
187613,59.610795,33.882755,47
187620,59.496094,34.6687,47
187640,59.493266,35.042246,47
187643,59.475638,33.797828,47
187650,59.470189,33.836653,47
187651,59.477036,33.850191,47
187665,59.697955,35.408929,47
187700,60.738053,33.54462,47
187701,60.724974,33.565982,47
187702,60.733791,33.556999,47
187704,60.719325,33.55513,47
187713,60.464381,33.517051,47
187715,60.471992,33.092462,47
187719,60.404898,33.849364,47
187724,60.65901,33.350117,47
187725,60.458065,33.162468,47
187726,60.805184,33.715956,47
187738,60.738053,33.54462,47
187741,60.916269,34.069254,47
187742,60.9647,34.031435,47
187750,61.011313,35.48313,47
187758,61.048342,35.438412,47
187760,60.627802,34.778312,47
187761,60.737881,33.545132,47
187780,60.911729,34.166335,47
187781,60.91724,34.154657,47
187782,60.910395,34.235343,47
188210,58.855701,30.344848,47
188220,58.815207,30.333664,47
188222,58.926905,30.65933,47
188224,58.7995,30.565842,47
188225,58.89803,30.586396,47
188230,58.735286,29.848762,47
188233,58.744748,29.817716,47
188235,58.730807,29.831928,47
188237,58.749146,29.854565,47
188245,59.16483,29.936572,47
188255,58.86217,29.901897,47
188256,58.848644,29.895942,47
188259,58.629747,29.82873,47
188266,58.818921,30.096625,47
188267,58.979064,30.04702,47
188270,58.726201,29.899346,47
188272,58.66085,30.025182,47
188279,58.666401,29.890156,47
188282,58.734506,29.311677,47
188284,58.57924,29.61105,47
188285,58.561069,29.806532,47
188288,58.522984,29.886752,47
188289,58.690583,29.838279,47
188290,59.013084,29.087117,47
188298,58.735571,29.849256,47
188300,59.57166,30.125021,47
188301,59.571368,30.078084,47
188302,59.546447,30.097353,47
188303,59.542675,29.934767,47
188304,59.555436,30.132181,47
188305,59.562329,30.130097,47
188306,59.574421,30.136546,47
188307,59.565073,30.095143,47
188309,59.558737,30.088037,47
188310,59.550699126,30.086976694,47
188320,59.621977,30.393042,47
188322,59.631728,30.41789,47
188324,59.593419,30.30269,47
188325,59.583735,30.401352,47
188327,59.475423,30.099078,47
188330,59.35653,30.064915,47
188332,59.347498,30.043885,47
188333,59.369325,30.08466,47
188335,59.320281,29.898331,47
188336,59.285973,30.066864,47
188338,59.348672,30.130716,47
188340,59.664944,30.10674,47
188341,59.496007,29.842186,47
188345,59.537981,30.390446,47
188347,59.405279,30.072721,47
188348,59.60107,30.324734,47
188349,59.525716,30.071895,47
188351,59.66833,29.898699,47
188352,59.616653,30.042304,47
188353,59.616184,30.208205,47
188354,59.613134,30.169676,47
188355,59.42597,30.122416,47
188356,59.329678,29.953218,47
188357,59.452997,30.005258,47
188358,59.5528,29.846292,47
188360,59.520974,29.971005,47
188361,59.560551,30.198521,47
188362,59.604762,29.664634,47
188365,59.491206,30.362536,47
188370,59.49254,29.771112,47
188371,59.508118,29.780993,47
188377,59.281087,30.1192,47
188381,59.379877,30.297471,47
188382,59.41523,30.334212,47
188398,59.550661,30.087175,47
188400,59.466738,29.629573,47
188401,59.411058,29.648285,47
188402,59.487884,29.363322,47
188410,59.445308,29.484055,47
188413,59.406232,29.389786,47
188414,59.35359,29.522853,47
188415,59.260868,29.59877,47
188416,59.40625,29.241393,47
188417,59.471574,29.484181,47
188421,59.531899,29.474039,47
188422,59.625845,29.536256,47
188423,59.586737,29.334306,47
188425,59.547569,29.101355,47
188442,59.323242,29.140881,47
188447,59.357636,28.969392,47
188448,59.445308,29.484055,47
188451,59.401001,28.571214,47
188453,59.424464,28.376423,47
188456,59.388878,28.64334,47
188460,59.440294,28.834385,47
188462,59.532123,28.929112,47
188467,59.605964,28.755018,47
188468,59.581156,28.755369,47
188471,59.645987,28.282154,47
188472,59.66833,28.290931,47
188474,59.377586,28.608934,47
188477,59.771857,28.47531,47
188479,59.383709,28.882732,47
188482,59.3893,28.61374,47
